date;Zuletzt;Eröffn.;Hoch;Tief;Vol.;+/- %
19.06.2008;6.721,17;6.704,22;6.765,10;6.662,46;-;-0,12%
18.06.2008;6.728,91;6.795,18;6.796,77;6.705,75;-;-0,99%
17.06.2008;6.796,16;6.743,50;6.855,84;6.743,48;-;0,98%
16.06.2008;6.729,88;6.773,43;6.812,66;6.671,80;-;-0,52%
13.06.2008;6.765,32;6.701,50;6.777,87;6.649,62;-;0,76%
12.06.2008;6.714,52;6.647,60;6.733,12;6.647,60;-;0,97%
11.06.2008;6.650,26;6.781,88;6.812,88;6.637,75;-;-1,78%
10.06.2008;6.771,10;6.789,28;6.798,58;6.715,98;-;-0,65%
09.06.2008;6.815,63;6.790,18;6.839,32;6.762,73;-;0,17%
06.06.2008;6.803,81;6.966,09;7.002,85;6.796,28;-;-1,99%
05.06.2008;6.941,83;6.964,71;7.008,93;6.905,01;-;-0,34%
04.06.2008;6.965,43;6.993,69;6.994,20;6.898,01;-;-0,77%
03.06.2008;7.019,13;6.986,92;7.023,18;6.962,38;-;0,15%
02.06.2008;7.008,77;7.098,70;7.102,05;6.995,41;-;-1,24%
30.05.2008;7.096,79;7.065,79;7.124,61;7.063,80;-;0,59%
29.05.2008;7.055,03;7.055,72;7.085,13;7.004,70;-;0,30%
28.05.2008;7.033,84;6.980,69;7.082,26;6.955,14;-;1,08%
27.05.2008;6.958,66;6.966,05;7.006,28;6.905,86;-;0,07%
26.05.2008;6.953,84;6.923,94;6.965,19;6.917,61;-;0,14%
23.05.2008;6.944,05;7.057,52;7.065,90;6.934,54;-;-1,79%
22.05.2008;7.070,33;7.016,21;7.090,23;6.980,54;-;0,42%
21.05.2008;7.040,83;7.129,07;7.151,38;7.013,13;-;-1,09%
20.05.2008;7.118,50;7.188,07;7.188,98;7.108,25;-;-1,49%
19.05.2008;7.225,94;7.177,02;7.231,86;7.165,44;-;0,97%
16.05.2008;7.156,55;7.103,84;7.205,96;7.103,84;-;1,07%
15.05.2008;7.081,05;7.072,12;7.088,67;7.037,09;-;-0,03%
14.05.2008;7.083,24;7.081,72;7.101,49;7.001,33;-;0,33%
13.05.2008;7.060,19;7.062,60;7.080,86;7.002,37;-;0,34%
12.05.2008;7.035,95;7.021,29;7.064,60;7.006,42;-;0,47%
09.05.2008;7.003,17;7.040,79;7.040,79;6.961,63;-;-0,97%
08.05.2008;7.071,90;7.037,63;7.073,45;7.013,06;-;-0,06%
07.05.2008;7.076,25;7.040,84;7.107,53;7.037,01;-;0,84%
06.05.2008;7.017,10;7.043,65;7.062,37;6.969,16;-;-0,50%
05.05.2008;7.052,08;7.036,99;7.059,92;7.021,73;-;0,13%
02.05.2008;7.043,23;6.982,06;7.092,82;6.971,93;-;1,36%
